,Final Pick,Total Projected Indy Wins,First Quarter Wins,Second Quarter Wins,Third Quarter Wins,Games Played By Carson (17 Max),Colts Made Playoffs,Playoff_Result,Game_Where_Indy_Fell_Out_of_Playoffs,Carson Benched On Purpose,Out_of_Division,Game_Where_Indy_Fell_Out_of_Division,Wins_of_Div_Winner,Out_of_Wildcard,Game_Where_Indy_Fell_Out_of_Wildcard,Wins_of_Last_WC,Week 1 Result,Week 2 Result,Week 3 Result,Week 4 Result,Week 5 Result,Week 6 Result,Week 7 Result,Week 8 Result,Week 9 Result,Week 10 Result,Week 11 Result,Week 12 Result,Week 13 Result,Week 14 Result,Week 15 Result,Week 16 Result,Week 17 Result,Draft Pick Points,Carson Final Snap %,Percentage of Total Occurances (%),Colts_Eliminated_From_Division_or_Wild_Card_Race_First
14,32,10.0,1,3,7,16.83723391685479,True,Super Bowl Win,,False,False,,10.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,IND,IND,HOU,IND,ARI,IND,IND,590,99.042552452087,0.01,None
15,24,7.0,1,3,5,15.267964984455563,True,First Round Exit,,False,False,,7.0,True,14.0,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,JAX,IND,TB,HOU,NE,ARI,IND,IND,740,89.81155873209154,0.01,None
16,10,8.0,1,3,5,15.752392,False,Missed Playoffs,17.0,True,True,17.0,9.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,IND,IND,IND,OAK,JAX,1300,92.6611294117647,0.01,Lost Wild Card and Division at Same Time
17,15,8.0,1,3,5,15.886741100062977,False,Missed Playoffs,,False,False,,8.0,True,16.0,10.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,IND,IND,ARI,OAK,IND,1050,93.45141823566458,0.01,Lost Wild Card First
18,10,7.0,1,4,6,14.357244192898241,False,Missed Playoffs,16.0,True,True,16.0,10.0,True,16.0,10.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,JAX,BUF,IND,IND,NE,ARI,OAK,JAX,1300,84.45437760528377,0.01,Lost Wild Card and Division at Same Time
19,25,8.0,1,2,4,16.31160813061636,True,Second Round Exit,,False,False,,9.0,False,,8.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,NYJ,IND,BUF,IND,IND,IND,ARI,IND,IND,720,95.95063606244918,0.01,None
20,9,7.0,1,3,5,14.178301077301333,False,Missed Playoffs,16.0,True,True,16.0,9.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,IND,NE,ARI,OAK,IND,1350,83.40177104294901,0.01,Lost Wild Card and Division at Same Time
21,41,7.0,1,2,3,12.273933091263999,False,Missed Playoffs,16.0,True,True,14.0,11.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,NYJ,IND,BUF,TB,IND,IND,IND,OAK,IND,490,72.1996064192,0.01,Lost Division First
22,11,7.0,1,3,5,14.7716,False,Missed Playoffs,16.0,True,True,16.0,11.0,True,16.0,10.0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,IND,NE,IND,OAK,JAX,1250,86.89176470588235,0.01,Lost Wild Card and Division at Same Time
23,20,9.0,1,4,7,16.8904,True,First Round Exit,,False,False,,9.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,IND,IND,NE,ARI,OAK,IND,850,99.35529411764705,0.01,None
24,10,6.0,1,3,4,15.208961436799996,False,Missed Playoffs,17.0,True,True,17.0,8.0,True,16.0,8.0,SEA,LAR,TEN,IND,BAL,HOU,IND,IND,NYJ,IND,BUF,TB,IND,NE,ARI,IND,JAX,1300,89.46447903999997,0.01,Lost Wild Card First
25,45,7.0,1,2,4,12.704225866609429,False,Missed Playoffs,17.0,True,True,15.0,11.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,HOU,SF,IND,IND,IND,BUF,TB,IND,IND,ARI,IND,JAX,450,74.73074039182018,0.01,Lost Division First
26,41,6.0,1,3,4,12.504448074061008,False,Missed Playoffs,15.0,True,True,15.0,9.0,True,15.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,NYJ,IND,BUF,TB,IND,NE,ARI,OAK,IND,490,73.55557690624123,0.01,Lost Wild Card and Division at Same Time
27,20,10.0,1,4,7,14.582546495015555,True,First Round Exit,,False,False,,10.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,IND,HOU,IND,IND,OAK,IND,850,85.77968526479738,0.01,None
28,46,8.0,1,2,4,11.481080479999997,False,Missed Playoffs,16.0,True,True,13.0,13.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,HOU,IND,TEN,IND,IND,BUF,TB,HOU,IND,IND,IND,IND,440,67.53576752941174,0.01,Lost Division First
29,11,7.0,1,3,5,14.15448098221,False,Missed Playoffs,16.0,True,True,16.0,9.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,IND,NE,ARI,OAK,IND,1250,83.26165283652941,0.01,Lost Wild Card and Division at Same Time
30,39,6.0,1,1,4,12.360653392713518,False,Missed Playoffs,15.0,True,True,14.0,11.0,True,15.0,9.0,SEA,LAR,TEN,IND,BAL,HOU,SF,TEN,IND,IND,IND,TB,IND,NE,ARI,OAK,IND,510,72.70972583949128,0.01,Lost Division First
31,27,8.0,1,3,5,15.987044354828182,True,Second Round Exit,,False,False,,8.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,IND,IND,ARI,OAK,IND,680,94.04143738134225,0.01,None
32,9,6.0,1,3,5,14.253513986026906,False,Missed Playoffs,,True,False,,7.0,True,15.0,8.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,HOU,NE,ARI,OAK,IND,1350,83.84419991780533,0.01,Lost Wild Card First
33,53,9.0,1,2,5,12.543824448621725,True,First Round Exit,,True,True,15.0,11.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,BUF,IND,HOU,IND,IND,IND,IND,370,73.78720263895133,0.01,None
34,9,7.0,1,2,3,13.755029837944711,False,Missed Playoffs,15.0,True,True,14.0,9.0,True,15.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,JAX,BUF,TB,IND,IND,ARI,IND,IND,1350,80.91194022320418,0.01,Lost Division First
35,13,8.0,1,4,5,15.486824093495148,False,Missed Playoffs,,False,False,,8.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,BUF,TB,IND,NE,ARI,IND,IND,1150,91.09896525585381,0.01,Lost Wild Card and Division at Same Time
36,19,10.0,1,4,8,16.379829698734447,True,First Round Exit,,False,False,,10.0,False,,10.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,IND,IND,IND,NE,ARI,IND,JAX,875,96.35193940432028,0.01,None
37,18,10.0,1,3,6,14.678022670247632,False,Missed Playoffs,17.0,True,True,16.0,12.0,True,17.0,11.0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,IND,IND,IND,ARI,IND,IND,900,86.34130982498607,0.01,Lost Division First
38,14,8.0,1,4,5,14.828994237718701,False,Missed Playoffs,17.0,True,True,16.0,11.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,JAX,BUF,IND,IND,IND,IND,OAK,JAX,1100,87.22937786893354,0.01,Lost Division First
39,18,9.0,1,3,6,15.963890230133906,False,Missed Playoffs,,False,False,,9.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,IND,IND,NE,IND,OAK,IND,900,93.90523664784651,0.01,Lost Wild Card and Division at Same Time
40,4,4.0,1,3,4,12.937046141501622,False,Missed Playoffs,15.0,True,True,15.0,10.0,True,15.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,NYJ,IND,BUF,TB,HOU,NE,ARI,OAK,JAX,1800,76.10027142059778,0.01,Lost Wild Card and Division at Same Time
41,40,5.0,1,3,3,11.428099227782138,False,Missed Playoffs,15.0,True,True,14.0,10.0,True,15.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,NYJ,JAX,BUF,TB,IND,NE,ARI,OAK,IND,500,67.22411310460082,0.01,Lost Division First
42,10,7.0,1,2,4,13.451032482595627,False,Missed Playoffs,16.0,True,True,16.0,9.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,HOU,SF,IND,NYJ,IND,BUF,IND,IND,NE,IND,OAK,IND,1300,79.12372048585664,0.01,Lost Wild Card and Division at Same Time
43,46,8.0,1,2,4,11.966543055360757,False,Missed Playoffs,16.0,True,True,14.0,12.0,True,16.0,10.0,SEA,LAR,TEN,IND,BAL,HOU,IND,TEN,IND,IND,BUF,TB,IND,IND,ARI,IND,IND,440,70.39142973741622,0.01,Lost Division First
44,27,11.0,1,4,7,16.290900127114504,True,Second Round Exit,,False,False,,11.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,IND,TB,IND,IND,IND,OAK,IND,680,95.82882427714414,0.01,None
45,13,7.0,1,3,4,13.429708118318437,False,Missed Playoffs,15.0,True,True,15.0,11.0,True,15.0,10.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,JAX,BUF,TB,IND,NE,ARI,IND,IND,1150,78.99828304893198,0.01,Lost Wild Card and Division at Same Time
46,13,8.0,1,3,5,16.378059313196445,False,Missed Playoffs,,False,False,,8.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,JAX,IND,TB,IND,IND,ARI,OAK,IND,1150,96.3415253717438,0.01,Lost Wild Card First
47,40,7.0,1,2,4,12.192059145902707,False,Missed Playoffs,16.0,True,True,13.0,13.0,True,16.0,8.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,NYJ,IND,BUF,IND,IND,IND,ARI,OAK,IND,500,71.71799497589828,0.01,Lost Division First
48,59,8.0,1,3,4,11.674760159999998,True,Second Round Exit,,True,True,13.0,14.0,False,,8.0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,JAX,BUF,TB,HOU,IND,IND,IND,IND,310,68.67505976470586,0.01,None
49,12,7.0,1,3,5,15.179124680789194,False,Missed Playoffs,17.0,True,True,17.0,9.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,HOU,IND,ARI,IND,JAX,1200,89.28896871052467,0.01,Lost Wild Card and Division at Same Time
50,12,7.0,1,2,4,13.482824442510818,False,Missed Playoffs,16.0,True,True,16.0,8.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,BUF,TB,IND,IND,ARI,OAK,IND,1200,79.31073201476951,0.01,Lost Wild Card and Division at Same Time
51,10,7.0,1,2,3,15.963782208063995,False,Missed Playoffs,,False,False,,8.0,True,17.0,8.0,SEA,LAR,TEN,IND,BAL,HOU,SF,IND,NYJ,IND,BUF,TB,IND,IND,IND,IND,JAX,1300,93.90460122390584,0.01,Lost Wild Card First
52,4,5.0,1,2,4,14.174019030399995,False,Missed Playoffs,16.0,True,True,16.0,8.0,True,16.0,8.0,SEA,LAR,TEN,IND,BAL,HOU,SF,IND,IND,IND,BUF,TB,HOU,IND,ARI,OAK,JAX,1800,83.37658253176468,0.01,Lost Wild Card and Division at Same Time
53,14,8.0,1,2,5,13.519112319999998,False,Missed Playoffs,,True,True,15.0,11.0,False,,8.0,SEA,LAR,TEN,IND,BAL,HOU,IND,TEN,IND,IND,BUF,IND,IND,IND,ARI,IND,JAX,1100,79.52419011764704,0.01,Lost Division First
54,16,8.0,1,3,5,12.89392409341387,False,Missed Playoffs,16.0,True,True,15.0,12.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,IND,IND,ARI,OAK,IND,1000,75.84661231419923,0.01,Lost Division First
55,3,4.0,1,2,3,13.688966441519428,False,Missed Playoffs,16.0,True,True,16.0,7.0,True,14.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,NYJ,IND,BUF,TB,HOU,IND,ARI,OAK,JAX,2200,80.52333200893781,0.01,Lost Wild Card First
56,17,9.0,1,3,5,16.752392,False,Missed Playoffs,,False,False,,9.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,IND,IND,ARI,IND,IND,950,98.54348235294118,0.01,Lost Wild Card and Division at Same Time
57,17,9.0,1,4,6,15.931362328428957,False,Missed Playoffs,,False,False,,9.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,HOU,IND,IND,IND,JAX,950,93.7138960495821,0.01,Lost Wild Card and Division at Same Time
58,15,8.0,1,3,6,13.752392,False,Missed Playoffs,,True,True,14.0,12.0,False,,8.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,IND,TB,HOU,NE,ARI,IND,IND,1050,80.89642352941176,0.01,Lost Division First
59,13,8.0,1,2,5,15.282307820166348,False,Missed Playoffs,17.0,True,True,15.0,12.0,True,17.0,10.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,IND,TB,IND,IND,ARI,IND,JAX,1150,89.8959283539197,0.01,Lost Division First
60,40,6.0,1,1,3,11.820190394430464,False,Missed Playoffs,14.0,True,True,14.0,11.0,True,14.0,9.0,SEA,LAR,TEN,IND,BAL,HOU,SF,TEN,IND,IND,BUF,TB,HOU,IND,ARI,IND,IND,500,69.5305317319439,0.01,Lost Wild Card and Division at Same Time
61,44,8.0,1,4,5,12.26137911758841,False,Missed Playoffs,16.0,True,True,14.0,11.0,True,16.0,10.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,BUF,TB,HOU,NE,IND,IND,IND,460,72.12575951522594,0.01,Lost Division First
62,17,8.0,1,4,5,14.7334552278464,False,Missed Playoffs,17.0,True,True,16.0,10.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,BUF,TB,IND,NE,ARI,IND,IND,950,86.66738369321412,0.01,Lost Division First
63,28,10.0,1,3,6,16.31645170064663,True,Second Round Exit,,False,False,,10.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,IND,IND,IND,ARI,IND,IND,660,95.97912765086254,0.01,None
64,14,8.0,1,2,5,15.311547253426628,False,Missed Playoffs,,False,False,,9.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,BUF,IND,IND,NE,ARI,IND,IND,1100,90.06792502015664,0.01,Lost Wild Card First
65,22,9.0,1,3,5,16.752392,True,First Round Exit,,False,False,,9.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,IND,IND,IND,OAK,IND,780,98.54348235294118,0.01,None
66,40,7.0,1,3,3,12.076929524321184,False,Missed Playoffs,16.0,True,True,14.0,10.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,NYJ,JAX,BUF,TB,HOU,IND,IND,IND,IND,500,71.04076190777167,0.01,Lost Division First
67,12,7.0,1,3,5,16.458736159999997,False,Missed Playoffs,,False,False,,8.0,False,,8.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,HOU,IND,ARI,OAK,IND,1200,96.81609505882352,0.01,Lost Wild Card and Division at Same Time
68,47,8.0,1,3,5,11.876922975764032,False,Missed Playoffs,,True,True,14.0,13.0,False,,8.0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,NYJ,IND,BUF,IND,IND,NE,ARI,IND,IND,430,69.86425279861194,0.01,Lost Division First
69,16,8.0,1,3,5,13.834230408206126,False,Missed Playoffs,16.0,True,True,16.0,10.0,True,16.0,10.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,IND,NE,ARI,IND,IND,1000,81.37782593062427,0.01,Lost Wild Card and Division at Same Time
70,15,8.0,1,2,5,14.95652873480261,False,Missed Playoffs,,False,False,,9.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,BUF,IND,IND,NE,ARI,IND,IND,1050,87.97958079295654,0.01,Lost Wild Card and Division at Same Time
71,15,7.0,1,3,4,16.002635671736076,False,Missed Playoffs,,False,False,,8.0,False,,8.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,NYJ,IND,BUF,TB,IND,IND,ARI,OAK,IND,1050,94.13315101021222,0.01,Lost Wild Card and Division at Same Time
72,5,6.0,1,2,5,14.308130073599996,False,Missed Playoffs,16.0,True,True,16.0,8.0,True,16.0,8.0,SEA,LAR,TEN,IND,BAL,HOU,SF,IND,IND,IND,IND,TB,HOU,NE,ARI,IND,JAX,1700,84.16547102117644,0.01,Lost Wild Card and Division at Same Time
73,9,7.0,1,3,5,15.614383999999998,False,Missed Playoffs,17.0,True,True,17.0,9.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,TB,HOU,IND,ARI,IND,JAX,1350,91.84931764705881,0.01,Lost Wild Card and Division at Same Time
74,42,7.0,1,2,4,12.385001276799997,False,Missed Playoffs,16.0,True,True,14.0,10.0,True,16.0,8.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,JAX,BUF,IND,IND,NE,ARI,IND,IND,480,72.8529486870588,0.01,Lost Division First
75,27,10.0,1,4,6,16.8904,True,Second Round Exit,,False,False,,10.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,HOU,IND,IND,IND,IND,680,99.35529411764705,0.01,None
76,8,7.0,1,2,3,13.17122367644304,False,Missed Playoffs,16.0,True,True,16.0,8.0,True,16.0,8.0,SEA,LAR,TEN,IND,BAL,HOU,SF,IND,IND,JAX,BUF,TB,IND,IND,ARI,IND,IND,1400,77.47778633201789,0.01,Lost Wild Card and Division at Same Time
77,12,7.0,1,4,6,13.8508,False,Missed Playoffs,17.0,True,True,15.0,11.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,JAX,BUF,IND,HOU,NE,ARI,IND,JAX,1200,81.47529411764705,0.01,Lost Division First
78,13,7.0,1,3,5,14.006192968968955,False,Missed Playoffs,16.0,True,True,15.0,10.0,True,16.0,10.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,HOU,IND,ARI,IND,JAX,1150,82.38937040569974,0.01,Lost Division First
79,13,8.0,1,3,4,14.381327103138752,False,Missed Playoffs,17.0,True,True,15.0,11.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,NYJ,IND,BUF,TB,IND,IND,ARI,IND,IND,1150,84.59604178316913,0.01,Lost Division First
80,16,7.0,1,2,4,14.84093328037276,False,Missed Playoffs,16.0,True,True,16.0,11.0,True,16.0,10.0,SEA,LAR,TEN,IND,BAL,HOU,SF,IND,NYJ,IND,BUF,IND,IND,IND,IND,OAK,JAX,1000,87.29960753160447,0.01,Lost Wild Card and Division at Same Time
81,23,10.0,1,4,7,15.898182793129697,True,First Round Exit,,False,False,,10.0,False,,10.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,IND,IND,IND,ARI,IND,JAX,760,93.51872231252763,0.01,None
82,36,4.0,1,2,2,11.875050228773878,False,Missed Playoffs,14.0,True,True,14.0,9.0,True,14.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,NYJ,JAX,BUF,TB,IND,NE,ARI,IND,JAX,540,69.85323663984634,0.01,Lost Wild Card and Division at Same Time
83,2,4.0,1,1,2,12.904750985267226,False,Missed Playoffs,14.0,True,True,13.0,11.0,True,14.0,9.0,SEA,LAR,TEN,IND,BAL,HOU,SF,TEN,IND,JAX,Tie,TB,HOU,IND,ARI,IND,JAX,2600,75.91029991333662,0.01,Lost Division First
84,42,7.0,1,2,5,12.644277070620944,False,Missed Playoffs,16.0,True,True,15.0,9.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,BUF,IND,IND,NE,ARI,IND,JAX,480,74.37810041541732,0.01,Lost Division First
85,22,11.0,1,4,6,16.8904,True,First Round Exit,,False,False,,11.0,False,,10.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,IND,IND,IND,IND,780,99.35529411764705,0.01,None
86,50,8.0,1,4,6,12.16224892934496,False,Missed Playoffs,16.0,True,True,16.0,10.0,True,16.0,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,BUF,IND,HOU,IND,ARI,OAK,IND,400,71.5426407608527,0.01,Lost Wild Card and Division at Same Time
87,21,10.0,1,2,5,15.927444644424366,True,First Round Exit,,False,False,,10.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,IND,TB,IND,IND,IND,IND,IND,800,93.69085084955509,0.01,None
88,19,10.0,1,3,7,16.08458841216183,True,First Round Exit,,False,False,,10.0,False,,10.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,IND,IND,IND,IND,IND,OAK,JAX,875,94.61522595389312,0.01,None
89,14,7.0,1,2,4,15.085305902552935,False,Missed Playoffs,,False,False,,8.0,False,,8.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,BUF,TB,HOU,IND,ARI,IND,IND,1100,88.73709354442903,0.01,Lost Wild Card and Division at Same Time
90,11,7.0,1,3,5,15.555575999999999,False,Missed Playoffs,17.0,True,True,17.0,9.0,True,17.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,IND,BUF,TB,HOU,IND,ARI,IND,JAX,1250,91.50338823529411,0.01,Lost Wild Card and Division at Same Time
91,9,7.0,1,2,4,12.948549495927093,False,Missed Playoffs,15.0,True,True,14.0,11.0,True,15.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,IND,BUF,TB,IND,NE,ARI,IND,IND,1350,76.16793821133584,0.01,Lost Division First
92,15,9.0,1,3,6,12.8508,False,Missed Playoffs,,True,True,14.0,12.0,False,,9.0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,BUF,IND,HOU,NE,IND,IND,IND,1050,75.59294117647059,0.01,Lost Division First
93,9,6.0,1,3,4,14.309636134463998,False,Missed Playoffs,16.0,True,True,16.0,9.0,True,15.0,9.0,SEA,LAR,TEN,IND,BAL,IND,SF,IND,IND,JAX,BUF,TB,HOU,NE,IND,IND,JAX,1350,84.1743302027294,0.01,Lost Wild Card First
94,43,6.0,1,2,3,11.841930157485532,False,Missed Playoffs,14.0,True,True,14.0,11.0,True,14.0,10.0,SEA,LAR,TEN,IND,BAL,IND,SF,TEN,IND,JAX,BUF,TB,IND,NE,ARI,IND,IND,470,69.65841269109137,0.01,Lost Wild Card and Division at Same Time
